qShort qLong baseline 
56080 99600 487 
51841 92737 455 
58107 104628 407 
51454 92331 482 
53185 94865 469 
52238 112524 357 
51590 75205 556 
53927 97441 458 
35455 46151 498 
47861 64868 484 
55458 98717 538 
60078 118879 448 
54924 93268 482 
57944 112964 432 
67972 134021 439 
100949 176516 271 
48464 64801 435 
47392 70153 541 
52730 85731 489 
55830 93470 449 
51213 82652 496 
55005 97644 483 
51761 95054 453 
52387 90211 452 
54489 94431 476 
60743 111363 454 
53882 94583 450 
51205 89910 490 
53508 96969 488 
52630 89792 457 
50976 94750 459 
54547 101578 463 
3442 77168 329 
55698 97098 451 
53662 95612 446 
60646 118468 442 
50860 91701 475 
67107 133313 433 
60794 122370 402 
51440 87259 490 
48563 60959 525 
45950 72379 543 
54444 93471 461 
51877 78949 531 
55941 90616 459 
60066 113220 405 
54099 96274 480 
51251 81320 515 
54813 100178 444 
56054 98832 451 
52662 91504 501 
55852 103312 441 
56380 110407 390 
53961 93549 471 
59170 116219 410 
96101 170589 374 
55843 104624 426 
54134 86068 509 
49993 79972 466 
65534 128843 398 
58028 103207 466 
52612 83138 465 
45657 74229 488 
52723 80481 502 
54162 86859 498 
53136 94390 443 
50563 78092 512 
51502 90481 482 
54286 93706 446 
52065 93366 439 
51821 94438 455 
65047 110657 436 
53825 96540 442 
57783 103432 460 
52510 88261 493 
50339 81344 467 
42527 63439 458 
56218 56649 624 
55160 93425 459 
106349 148223 328 
55558 92736 495 
101427 141749 418 
61760 120160 343 
58293 110993 362 
53646 92119 476 
49774 79078 491 
52609 89684 450 
50082 89359 475 
51672 89012 501 
54476 92088 452 
52322 91758 425 
47842 70338 529 
61014 125935 395 
55076 92579 447 
52003 77786 543 
26896 9400 616 
53106 52392 565 
47587 51527 529 
56175 104955 423 
57946 103726 463 
51476 88498 456 
52386 93499 466 
52067 98611 475 
51516 83313 477 
55361 99192 430 
50529 90221 483 
51663 89083 476 
55642 96734 439 
53433 97366 475 
53057 88211 503 
55137 94773 452 
53408 95420 446 
54912 95233 481 
60013 112672 444 
56890 103527 440 
51728 94544 477 
48906 84576 503 
47434 78119 450 
55468 106417 438 
55510 96169 484 
54301 91359 535 
53918 104262 394 
48910 88352 452 
54526 95395 496 
53762 102812 455 
54427 99745 445 
53463 101877 461 
52673 83940 481 
64690 122942 444 
55655 97605 503 
62679 121614 437 
54935 104254 423 
57262 107638 422 
50137 76707 509 
12557 51038 451 
50790 78059 490 
67202 126110 343 
42260 34661 543 
54379 108049 524 
74399 140085 359 
55842 94956 440 
55993 103696 462 
55057 93785 447 
48418 72937 498 
6398 58625 338 
53870 86088 483 
53325 92230 508 
54508 101374 434 
52642 96867 448 
54201 96567 476 
56144 90688 465 
54510 94537 448 
56604 99489 471 
8367 73376 358 
52612 88549 493 
53951 89035 457 
52769 92557 465 
55196 94469 489 
53685 92043 465 
87120 146420 364 
55341 96988 449 
-2593 62288 348 
50955 86693 482 
58340 107044 452 
52744 73306 559 
40351 45096 515 
52206 97779 439 
92084 135595 344 
56850 109724 440 
31819 47437 531 
56674 110200 392 
54313 95023 470 
53591 93308 478 
52827 92296 466 
81392 144910 315 
51832 88777 474 
62547 119953 459 
53966 95468 431 
58481 112914 455 
53258 96493 471 
49686 57500 546 
58399 96287 502 
50199 69617 518 
51766 93167 466 
55796 93708 448 
1626 65507 271 
52803 94933 476 
56409 94797 470 
53173 96197 459 
52990 97796 415 
49235 76645 518 
54537 98762 469 
54750 92738 452 
55209 102615 474 
54524 93855 484 
51887 93664 454 
55503 107594 433 
55564 99074 468 
51978 98696 478 
55322 94305 452 
-457 57139 312 
51989 87277 500 
22818 5622 658 
37514 50690 482 
36631 27469 560 
49662 79821 528 
54950 108968 384 
58748 94243 506 
57276 102272 482 
59570 108878 453 
54110 90807 477 
55009 105196 457 
58404 117201 409 
49403 74443 460 
53402 86295 469 
53852 97755 484 
51817 74428 542 
27040 -6415 721 
51906 83487 460 
44225 56824 549 
53306 99490 407 
26568 6115 650 
