qShort qLong cfd_y1 cfd_y2 baseline height eventCounter eventCounterPSD psdValue 
85288 73888 31 -11 461 2429 927 0 -5055 
95053 84803 11 -38 479 2428 928 0 -3960 
98020 91375 36 -16 442 2379 929 0 -2382 
88615 72981 10 -51 476 2431 930 0 -7019 
107306 110208 39 -2 435 2385 931 0 862 
81021 62403 22 -50 521 2441 932 0 -9776 
99215 84795 5 -30 447 2405 933 0 -5572 
85147 62581 54 -13 478 2407 934 0 -11815 
90498 76910 60 -1 491 2430 935 0 -5789 
88334 78617 10 -46 457 2401 936 0 -4049 
93165 79893 33 -34 466 2412 937 0 -5443 
93504 86923 42 -23 461 2399 938 0 -2480 
108686 106357 18 -18 438 2415 939 0 -717 
94297 84051 62 -4 450 2397 940 0 -3994 
80669 46717 25 -39 535 2450 941 0 -23813 
122456 127680 14 -10 400 2394 942 0 1340 
119566 136158 24 -4 361 2378 943 0 3992 
86759 92558 38 -29 422 2336 944 0 2052 
76564 74903 22 -48 482 2396 945 0 -726 
95191 88532 57 -11 474 2418 946 0 -2464 
68972 65443 23 -39 477 2344 947 0 -1766 
105243 109179 48 -12 421 2401 948 0 1181 
99666 112171 28 -37 488 2432 949 0 3652 
67535 48973 25 -45 469 2353 950 0 -12419 
114477 126629 29 -6 382 2361 951 0 3144 
93488 77725 60 -3 474 2419 952 0 -6645 
83812 80117 53 -4 492 2407 953 0 -1511 
106986 101408 47 -13 421 2402 954 0 -1802 
79941 69139 18 -54 482 2394 955 0 -5119 
94398 76785 41 -28 519 2470 956 0 -7516 
119025 111220 14 -23 434 2450 957 0 -2299 
77906 51139 38 -27 460 2383 958 0 -17150 
98991 88852 67 -3 472 2440 959 0 -3739 
123486 169830 14 -6 359 2307 960 0 8941 
5995 -12592 360 -4 622 2296 961 0 -17169 
67613 57135 11 -30 530 2418 962 0 -6009 
121304 120623 20 -5 414 2444 963 0 -184 
93792 82260 47 -21 454 2395 964 0 -4593 
79541 72956 26 -45 442 2335 965 0 -2957 
91369 78845 46 -25 487 2435 966 0 -5204 
84896 66388 40 -28 496 2426 967 0 -9134 
90542 80221 65 -5 452 2380 968 0 -4215 
103218 101135 13 -33 467 2424 969 0 -674 
89269 78189 45 -4 482 2423 970 0 -4643 
84499 72431 28 -36 459 2360 971 0 -5459 
91954 79889 48 -22 441 2381 972 0 -4948 
103919 95148 60 -10 468 2441 973 0 -3020 
98701 87075 67 -2 464 2415 974 0 -4374 
91483 81453 60 -3 450 2386 975 0 -4034 
90592 80925 4 -52 479 2412 976 0 -3914 
95762 92435 14 -44 464 2419 977 0 -1179 
89538 119909 14 -74 365 942 978 0 8299 
90934 76626 25 -35 470 2407 979 0 -6118 
77616 70810 29 -42 457 2342 980 0 -3149 
84124 82962 48 -29 463 2376 981 0 -458 
97130 95262 58 -9 468 2405 982 0 -642 
87570 64756 35 -31 501 2456 983 0 -11544 
83947 63979 0 -45 501 2397 984 0 -10226 
71056 31326 39 -7 522 2406 985 0 23979 
121386 156034 19 -7 368 2360 986 0 7276 
91074 86111 38 -22 447 2372 987 0 -1888 
95739 80929 48 -24 487 2445 988 0 -5996 
105120 82608 43 -26 514 2476 989 0 -8929 
90073 78205 60 -7 456 2379 990 0 -4972 
108110 108500 29 -13 469 2437 991 0 117 
120374 132836 13 -11 448 2416 992 0 3074 
114803 115020 38 -16 419 2451 993 0 61 
54316 25804 9 -26 524 2387 994 0 29331 
89499 89499 40 -29 483 2405 995 0 0 
96698 95222 59 -15 441 2384 996 0 -507 
78624 49059 23 -48 508 2447 997 0 -19746 
112852 114145 11 -31 461 2442 998 0 371 
129055 155051 1 -2 392 2383 999 0 5493 
104305 94391 14 -23 453 2421 1000 0 -3441 
81111 72314 5 -42 449 2341 1001 0 -3986 
57576 18069 16 -9 595 2496 1002 0 -6107 
118538 88199 16 -11 427 2429 1003 0 -11271 
100581 95154 59 -4 437 2398 1004 0 -1868 
84386 65886 5 -64 517 2443 1005 0 -9200 
103294 96097 53 -17 494 2465 1006 0 -2454 
93755 82394 64 -9 448 2393 1007 0 -4518 
96411 75409 7 -31 472 2447 1008 0 -9125 
93240 82986 6 -45 481 2425 1009 0 -4048 
89972 77933 10 -38 459 2406 1010 0 -5061 
100088 92795 38 -17 442 2403 1011 0 -2575 
82246 127978 45 -32 266 660 1012 0 11709 
101319 90535 39 -25 465 2430 1013 0 -3903 
94375 80202 34 -32 490 2434 1014 0 -5790 
93884 83808 54 -20 450 2394 1015 0 -3939 
101930 93519 5 -32 450 2418 1016 0 -2947 
96609 88463 59 -8 475 2426 1017 0 -3017 
105519 98799 22 -22 438 2408 1018 0 -2228 
81173 71439 89 -119 454 2490 1019 0 -4464 
90097 69010 11 -42 489 2437 1020 0 -10012 
88537 81234 23 -40 495 2418 1021 0 -2945 
108518 107258 11 -20 417 2401 1022 0 -384 
74250 73619 25 -53 473 2379 1023 0 -280 
178359 217620 12 -475 278 2249 1024 0 5911 
66265 26644 1 -3 520 2460 1025 0 16810 
93987 77879 32 -20 428 2360 1026 0 -6777 
106339 103898 52 -8 458 2420 1027 0 -769 
102960 99775 40 -22 506 2462 1028 0 -1045 
89106 77309 47 -25 455 2380 1029 0 -5000 
78903 73343 13 -56 469 2458 1030 0 -2484 
91997 81637 57 -11 478 2418 1031 0 -4158 
15099 -24195 0 -6 605 2383 1032 0 -12321 
100351 85054 27 -19 435 2398 1033 0 -5893 
120162 147359 1 -3 372 2368 1034 0 6047 
85409 69904 17 -54 503 2424 1035 0 -7267 
107200 105322 72 -7 426 2401 1036 0 -584 
121691 133439 23 -9 413 2417 1037 0 2884 
80765 78959 67 -5 465 2341 1038 0 -749 
74078 45139 39 -28 501 2406 1039 0 -21007 
69547 50322 45 -9 454 2326 1040 0 -12518 
91140 82559 23 -37 470 2405 1041 0 -3405 
51572 32217 80 -97 440 885 1042 0 -19685 
127557 117290 22 -9 440 2493 1043 0 -2868 
134027 155932 1 -1 365 2400 1044 0 4603 
94612 83132 44 -24 472 2414 1045 0 -4524 
93801 85030 62 -6 474 2418 1046 0 -3379 
87614 75595 61 -2 464 2377 1047 0 -5209 
99436 88034 28 -27 422 2380 1048 0 -4243 
94896 86594 29 -26 474 2419 1049 0 -3141 
97378 89388 54 -17 458 2400 1050 0 -2928 
94945 84854 56 -16 447 2393 1051 0 -3896 
118136 124874 5 -26 422 2406 1052 0 1768 
97409 89698 2 -39 469 2420 1053 0 -2816 
95374 86864 19 -32 452 2401 1054 0 -3210 
97871 90544 35 -22 424 2376 1055 0 -2651 
95616 77850 29 -37 479 2425 1056 0 -7477 
96969 99188 51 -15 449 2384 1057 0 733 
93293 83386 54 -18 449 2391 1058 0 -3893 
93907 85039 55 -13 477 2418 1059 0 -3416 
94288 82799 9 -34 470 2394 1060 0 -4546 
108804 98916 26 -12 446 2434 1061 0 -3275 
90304 75281 25 -23 450 2373 1062 0 -6538 
98001 82872 32 -33 483 2442 1063 0 -5981 
101136 115234 2 -30 425 2348 1064 0 4008 
44258 -11364 63 -15 604 2511 1065 0 29308 
65869 38643 1 -74 544 2408 1066 0 -23086 
111339 107045 0 -42 502 2471 1067 0 -1314 
96229 105162 11 -35 439 2401 1068 0 2783 
44155 12156 3 -4 539 2379 1069 0 -20718 
117809 130744 16 -11 407 2406 1070 0 3241 
89754 110182 11 -186 336 904 1071 0 6075 
96651 87834 50 -20 460 2404 1072 0 -3289 
99887 86436 72 -2 439 2411 1073 0 -5099 
97041 87743 61 -2 477 2428 1074 0 -3472 
96146 88705 0 -44 486 2440 1075 0 -2748 
89171 78611 5 -54 478 2408 1076 0 -4401 
82732 71987 12 -42 459 2371 1077 0 -4890 
104441 87983 70 -1 461 2444 1078 0 -6129 
82502 71217 39 -30 469 2382 1079 0 -5192 
93042 83945 2 -35 470 2378 1080 0 -3550 
84115 67672 45 -9 505 2421 1081 0 -7961 
106839 118865 39 -17 448 2405 1082 0 3315 
136198 115547 2 -28 488 2584 1083 0 -5856 
49941 45434 11 -8 466 2242 1084 0 -3250 
28596 18813 29 -18 590 2347 1085 0 -17039 
88171 82832 60 -6 458 2388 1086 0 -2112 
92373 82304 12 -38 461 2407 1087 0 -4008 
88923 78359 22 -39 480 2397 1088 0 -4417 
94664 76831 29 -37 507 2445 1089 0 -7605 
82835 68795 35 -36 473 2398 1090 0 -6687 
84236 74937 52 -15 464 2380 1091 0 -4066 
94491 85601 65 -4 481 2427 1092 0 -3402 
92348 83234 14 -36 453 2394 1093 0 -3587 
90532 80658 22 -35 455 2394 1094 0 -4011 
81801 65368 10 -52 493 2413 1095 0 -8237 
102438 101436 46 -22 478 2436 1096 0 -323 
95763 85700 51 -17 449 2398 1097 0 -3847 
107585 100779 8 -26 436 2418 1098 0 -2212 
95281 84421 59 -7 484 2434 1099 0 -4215 
103588 99355 20 -27 436 2398 1100 0 -1396 
113396 119818 3 -10 386 2387 1101 0 1756 
86956 70218 7 -51 486 2422 1102 0 -7810 
98303 96687 24 -33 489 2435 1103 0 -547 
95407 82614 51 -19 451 2415 1104 0 -5074 
93251 94418 62 -6 432 2355 1105 0 404 
103474 105288 10 -26 428 2374 1106 0 564 
55375 4279 5 -60 551 2431 1107 0 1942 
105988 109968 31 -12 414 2392 1108 0 1185 
88101 69708 24 -40 477 2424 1109 0 -8645 
85278 62930 3 -63 526 2466 1110 0 -11636 
101486 94559 58 -18 431 2394 1111 0 -2400 
97633 139588 196 -6 225 756 1112 0 9848 
79223 74802 59 -19 440 2317 1113 0 -1936 
98888 98131 68 -6 460 2410 1114 0 -252 
88079 72743 12 -25 439 2362 1115 0 -6908 
89598 79959 8 -44 439 2372 1116 0 -3950 
64633 43406 18 -37 526 2394 1117 0 -16024 
171397 194273 6 -112 317 2330 1118 0 3858 
94797 86363 44 -23 445 2391 1119 0 -3199 
100571 120071 13 -1 421 2400 1120 0 5321 
